ad_id,heading,location,timestamp,date,amount,lat,lon,canonical_url,image
297837349,Espresso cup,Oslo,1714481940000,30.04.24,200,59.9259,10.76864,https://www.finn.no/bap/forsale/ad.html?finnkode=297837349,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/07/9/297/837/349_1476891388.jpg
350880502,Espresso og cappuccino maskin DeLonghi,Oslo,1714414693630,29.04.24,3000,59.90675,10.75783,https://www.finn.no/bap/forsale/ad.html?finnkode=350880502,https://images.finncdn.no/dynamic/default/2024/4/vertical-0/29/2/350/880/502_74635caa-29d6-44c5-a544-ade5ab1640e3.jpg
131823830,Espresso maskin Lelit Mara håndlaget italiensk PL62 T. Veil pris 18.000!,Oslo,1714465440000,30.04.24,12000,59.95193,10.64475,https://www.finn.no/bap/forsale/ad.html?finnkode=131823830,https://images.finncdn.no/dynamic/default/2018/10/vertical-5/17/0/131/823/830_616650614.jpg
350617698,Espresso maskin,Hokksund,1714303380000,28.04.24,6000,59.77075,9.90983,https://www.finn.no/bap/forsale/ad.html?finnkode=350617698,https://images.finncdn.no/dynamic/default/2024/4/vertical-0/28/8/350/617/698_7aad3e76-631c-4bba-b948-40bfd0f71bfe.jpg
341959640,VIBIEMME espresso maskin + kaffekvern,Lommedalen,1714295160000,28.04.24,10000,59.95557,10.47924,https://www.finn.no/bap/forsale/ad.html?finnkode=341959640,https://images.finncdn.no/dynamic/default/2024/2/vertical-0/27/0/341/959/640_1801473834.jpg
350138331,Saeco incanto espresso og kaffemaskin,Oslo,1713996180000,24.04.24,2200,59.9075,10.7739,https://www.finn.no/bap/forsale/ad.html?finnkode=350138331,https://images.finncdn.no/dynamic/default/2024/4/vertical-0/24/1/350/138/331_7805b62b-9b81-4f92-a0a8-a47990564c79.jpg
350138513,Delongi cappuccino espresso og kaffemaskin,Oslo,1713996300000,24.04.24,1800,59.9075,10.7739,https://www.finn.no/bap/forsale/ad.html?finnkode=350138513,https://images.finncdn.no/dynamic/default/2024/4/vertical-0/24/3/350/138/513_eafe5211-ff6f-4a76-969a-860c96d88af1.jpg
332422134,Elektra espresso maskin,Oslo,1713604260000,20.04.24,13500,59.90353,10.78866,https://www.finn.no/bap/forsale/ad.html?finnkode=332422134,https://images.finncdn.no/dynamic/default/2023/12/vertical-0/12/4/332/422/134_2084802767.jpg
349186677,Manuell Espresso Maskin,Drammen,1713457500000,18.04.24,1200,59.7342,10.18994,https://www.finn.no/bap/forsale/ad.html?finnkode=349186677,https://images.finncdn.no/dynamic/default/2024/4/vertical-0/18/7/349/186/677_526da0eb-8cd7-435f-aacc-b41d203b8bee.jpg
307984486,Francis Francis X1 espresso maskin,Oslo,1713415680000,18.04.24,6000,59.9486,10.82721,https://www.finn.no/bap/forsale/ad.html?finnkode=307984486,https://images.finncdn.no/dynamic/default/2023/6/vertical-0/21/6/307/984/486_2078800277.jpg
339703381,Espresso kaffemaskin.,Bjørnemyr,1712777940000,10.04.24,1100,59.83865,10.64397,https://www.finn.no/bap/forsale/ad.html?finnkode=339703381,https://images.finncdn.no/dynamic/default/2024/2/vertical-0/10/1/339/703/381_1251439593.jpg
345364249,Espresso/kaffemaskin,Oslo,1711221480000,23.03.24,0,59.9204,10.76501,https://www.finn.no/bap/forsale/ad.html?finnkode=345364249,https://images.finncdn.no/dynamic/default/2024/3/vertical-0/23/9/345/364/249_31d85ac4-b5c8-48f3-bc6d-f64c03b374b1.jpg
